stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
ES:Euskotren:Quay:26182:,,Durango,,"Calle Geltoki, 2 / Durango",43.170183,-2.636888,ES:Euskotren:Zone:7:,,0,ES:Euskotren:StopPlace:2618:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:2619:,,Eibar,,"Estación, 21, bajo / Eibar",43.187065,-2.465858,ES:Euskotren:Zone:40:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:26190:,,Eibar,,"Estación, 21, bajo / Eibar",43.187065,-2.465858,ES:Euskotren:Zone:40:,,2,ES:Euskotren:StopPlace:2619:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26191:,,Eibar,,"Estación, 21, bajo / Eibar",43.187065,-2.465858,ES:Euskotren:Zone:40:,,0,ES:Euskotren:StopPlace:2619:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26192:,,Eibar,,"Estación, 21, bajo / Eibar",43.187065,-2.465858,ES:Euskotren:Zone:40:,,0,ES:Euskotren:StopPlace:2619:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:2620:,,Bedia,,Barrio de Barroeta / Bedia,43.206133,-2.797994,ES:Euskotren:Zone:6:,,1,,,2,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:26200:,,Bedia,,Barrio de Barroeta / Bedia,43.206133,-2.797994,ES:Euskotren:Zone:6:,,2,ES:Euskotren:StopPlace:2620:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26201:,,Bedia,,Barrio de Barroeta / Bedia,43.206133,-2.797994,ES:Euskotren:Zone:6:,,0,ES:Euskotren:StopPlace:2620:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26202:,,Bedia,,Barrio de Barroeta / Bedia,43.206133,-2.797994,ES:Euskotren:Zone:6:,,0,ES:Euskotren:StopPlace:2620:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:2621:,,Lugaritz-Donostia,,Paseo de Lugaritz / Donostia-San Sebastián,43.302646,-2.000204,ES:Euskotren:Zone:42:,,1,,,2,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:26210:,,Lugaritz-Donostia,,Paseo de Lugaritz / Donostia-San Sebastián,43.302646,-2.000204,ES:Euskotren:Zone:42:,,2,ES:Euskotren:StopPlace:2621:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26211:,,Lugaritz-Donostia,,Paseo de Lugaritz / Donostia-San Sebastián,43.302646,-2.000204,ES:Euskotren:Zone:42:,,0,ES:Euskotren:StopPlace:2621:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26212:,,Lugaritz-Donostia,,Paseo de Lugaritz / Donostia-San Sebastián,43.302646,-2.000204,ES:Euskotren:Zone:42:,,0,ES:Euskotren:StopPlace:2621:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:2622:,,Elgoibar,,"Trenbide kalea, 14, bajo / Elgoibar",43.213448,-2.415885,ES:Euskotren:Zone:40:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:26220:,,Elgoibar,,"Trenbide kalea, 14, bajo / Elgoibar",43.213448,-2.415885,ES:Euskotren:Zone:40:,,2,ES:Euskotren:StopPlace:2622:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26221:,,Elgoibar,,"Trenbide kalea, 14, bajo / Elgoibar",43.213448,-2.415885,ES:Euskotren:Zone:40:,,0,ES:Euskotren:StopPlace:2622:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26222:,,Elgoibar,,"Trenbide kalea, 14, bajo / Elgoibar",43.213448,-2.415885,ES:Euskotren:Zone:40:,,0,ES:Euskotren:StopPlace:2622:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:2624:,,Herrera-Donostia,,"Avd. Jose Elosegi, 297 / Donostia-San Sebastián",43.320059,-1.937832,ES:Euskotren:Zone:42:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:26240:,,Herrera-Donostia,,"Avd. Jose Elosegi, 297 / Donostia-San Sebastián",43.320059,-1.937832,ES:Euskotren:Zone:42:,,2,ES:Euskotren:StopPlace:2624:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26241:,,Herrera-Donostia,,"Avd. Jose Elosegi, 297 / Donostia-San Sebastián",43.320059,-1.937832,ES:Euskotren:Zone:42:,,0,ES:Euskotren:StopPlace:2624:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26242:,,Herrera-Donostia,,"Avd. Jose Elosegi, 297 / Donostia-San Sebastián",43.320059,-1.937832,ES:Euskotren:Zone:42:,,0,ES:Euskotren:StopPlace:2624:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:2625:,,Fanderia-Errenteria,,Avda. Fanderia / Errenteria,43.308227,-1.889402,ES:Euskotren:Zone:42:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:26250:,,Fanderia-Errenteria,,Avda. Fanderia / Errenteria,43.308227,-1.889402,ES:Euskotren:Zone:42:,,2,ES:Euskotren:StopPlace:2625:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26251:,,Fanderia-Errenteria,,Avda. Fanderia / Errenteria,43.308227,-1.889402,ES:Euskotren:Zone:42:,,0,ES:Euskotren:StopPlace:2625:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26252:,,Fanderia-Errenteria,,Avda. Fanderia / Errenteria,43.308227,-1.889402,ES:Euskotren:Zone:42:,,0,ES:Euskotren:StopPlace:2625:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:2626:,,Altzola-Elgoibar,,"Calle de Donosti, 8 / Elgoibar",43.235782,-2.399686,ES:Euskotren:Zone:40:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:26260:,,Altzola-Elgoibar,,"Calle de Donosti, 8 / Elgoibar",43.235782,-2.399686,ES:Euskotren:Zone:40:,,2,ES:Euskotren:StopPlace:2626:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26261:,,Altzola-Elgoibar,,"Calle de Donosti, 8 / Elgoibar",43.235782,-2.399686,ES:Euskotren:Zone:40:,,0,ES:Euskotren:StopPlace:2626:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlace:2627:,,San Lorentzo-Ermua,,Av de Guipuzkoa 35 / Ermua,43.179394,-2.495881,ES:Euskotren:Zone:40:,,1,,,1,ES:Euskotren:Level:1:,
ES:Euskotren:StopPlaceEntrance:26270:,,San Lorentzo-Ermua,,Av de Guipuzkoa 35 / Ermua,43.179394,-2.495881,ES:Euskotren:Zone:40:,,2,ES:Euskotren:StopPlace:2627:,,0,ES:Euskotren:Level:1:,
ES:Euskotren:Quay:26271:,,San Lorentzo-Ermua,,Av de Guipuzkoa 35 / Ermua,43.179394,-2.495881,ES:Euskotren:Zone:40:,,0,ES:Euskotren:StopPlace:2627:,,0,ES:Euskotren:Level:1:,
