route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
22,11,22_2202_11_74100,,Zizurkil,1,,shp_22_2202,0,0
27,18,27_2702_18_48300,,Villabona,1,,shp_27_2702,0,0
42,12,42_4201_12_900,,Berastegi,0,,shp_42_4201,0,0
22,22,22_2201_22_30000,,Villabona,0,,shp_22_2201,0,0
47,12,47_4702_12_9000,,Tolosa,0,,shp_47_4702,0,0
4,11,4_401_11_55200,,Gaztelu,0,,shp_4_401,0,0
27,21,27_2702_21_71700,,Villabona,1,,shp_27_2702,0,0
28,22,28_2801_22_70200,,Tol-bedaio,0,,shp_28_2801,0,0
2,12,2_202_12_49800,,Tolosa,1,,shp_2_202,0,0
24,3,24_2401_3_74400,,Abaltziske,1,,shp_24_2401,0,0
28,22,28_2802_22_25200,,Amez-ugart,1,,shp_28_2802,0,0
7,11,7_707_11_78000,,Larraul,0,,shp_7_707,0,0
4,12,4_402_12_33300,,Tolosa,1,,shp_4_402,0,0
22,21,22_2202_21_45900,,Zizurkil,1,,shp_22_2202,0,0
24,22,24_2402_22_25200,,Alegia,0,,shp_24_2402,0,0
2,21,2_203_21_55800,,Berastegi,0,,shp_2_203,0,0
27,18,27_2702_18_31500,,Villabona,1,,shp_27_2702,0,0
28,22,28_2801_22_24600,,Tol-bedaio,0,,shp_28_2801,0,0
1,2,1_101_2_52500,,Abaltziske,0,,shp_1_101,0,0
20,11,20_2002_11_72000,,Tolosa,1,,shp_20_2002,0,0
3,10,3_301_10_37800,,Orexa,0,,shp_3_301,0,0
24,22,24_2401_22_24600,,Abaltziske,1,,shp_24_2401,0,0
29,11,29_2902_11_48900,,Ibar-izask,1,,shp_29_2902,0,0
23,2,23_2302_2_28800,,Andoain,0,,shp_23_2302,0,0
7,11,7_702_11_52200,,Tolosa,1,,shp_7_702,0,0
20,21,20_2001_21_29400,,Alkiza,0,,shp_20_2001,0,0
7,3,7_701_3_35400,,Asteasu,0,,shp_7_701,0,0
24,21,24_2402_21_37500,,Alegia,0,,shp_24_2402,0,0
29,22,29_2901_22_36300,,Ibarra,0,,shp_29_2901,0,0
7,18,7_707_18_78000,,Larraul,0,,shp_7_707,0,0
8,3,8_801_3_32400,,Aduna,0,,shp_8_801,0,0
7,11,7_701_11_68400,,Asteasu,0,,shp_7_701,0,0
1,10,1_102_10_28500,,Tolosa,1,,shp_1_102,0,0
1,12,1_101_12_57600,,Abaltziske,0,,shp_1_101,0,0
26,2,26_2601_2_46200,,Baliarrain,1,,shp_26_2601,0,0
25,12,25_2501_12_33900,,Altzo,0,,shp_25_2501,0,0
26,2,26_2601_2_74700,,Baliarrain,1,,shp_26_2601,0,0
24,11,24_2402_11_33300,,Alegia,0,,shp_24_2402,0,0
6,18,6_601_18_48000,,Iba-apatta,0,,shp_6_601,0,0
1,18,1_101_18_27900,,Abaltziske,0,,shp_1_101,0,0
2,10,2_201_10_34800,,Berastegi,0,,shp_2_201,0,0
21,3,21_2101_3_30600,,Hernialde,0,,shp_21_2101,0,0
7,10,7_707_10_73800,,Larraul,0,,shp_7_707,0,0
41,3,41_4102_3_10500,,Tolosa,1,,shp_41_4102,0,0
23,2,23_2301_2_26400,,Aduna,1,,shp_23_2301,0,0
8,22,8_801_22_31800,,Aduna,0,,shp_8_801,0,0
21,11,21_2101_11_30600,,Hernialde,0,,shp_21_2101,0,0
2,21,2_203_21_28200,,Berastegi,0,,shp_2_203,0,0
20,21,20_2002_21_56100,,Tolosa,1,,shp_20_2002,0,0
3,11,3_301_11_37800,,Orexa,0,,shp_3_301,0,0
8,18,8_802_18_25800,,Larraul,1,,shp_8_802,0,0
3,21,3_303_21_59400,,Orexa,0,,shp_3_303,0,0
8,22,8_802_22_65100,,Larraul,1,,shp_8_802,0,0
24,18,24_2402_18_33300,,Alegia,0,,shp_24_2402,0,0
23,22,23_2301_22_28200,,Aduna,1,,shp_23_2301,0,0
2,22,2_202_22_36000,,Tolosa,1,,shp_2_202,0,0
29,21,29_2902_21_54600,,Ibar-izask,1,,shp_29_2902,0,0
25,2,25_2502_2_27000,,Alegia,1,,shp_25_2502,0,0
2,12,2_202_12_75900,,Tolosa,1,,shp_2_202,0,0
7,21,7_701_21_43200,,Asteasu,0,,shp_7_701,0,0
26,11,26_2601_11_33000,,Baliarrain,1,,shp_26_2601,0,0
2,2,2_202_2_75000,,Tolosa,1,,shp_2_202,0,0
5,12,5_501_12_72000,,Bidania,0,,shp_5_501,0,0
1,21,1_102_21_37800,,Tolosa,1,,shp_1_102,0,0
25,2,25_2501_2_26700,,Altzo,0,,shp_25_2501,0,0
21,10,21_2101_10_73200,,Hernialde,0,,shp_21_2101,0,0
7,2,7_701_2_50400,,Asteasu,0,,shp_7_701,0,0
20,22,20_2002_22_53400,,Tolosa,1,,shp_20_2002,0,0
26,18,26_2601_18_33000,,Baliarrain,1,,shp_26_2601,0,0
21,18,21_2101_18_30600,,Hernialde,0,,shp_21_2101,0,0
41,11,41_4102_11_86100,,Tolosa,1,,shp_41_4102,0,0
3,11,3_301_11_30000,,Orexa,0,,shp_3_301,0,0
