table_name,field_name,language,translation,record_id,record_sub_id,field_value
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735900:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735920:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735940:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735960:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10735980:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736000:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736020:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736040:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736060:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736080:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736100:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736120:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736140:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736160:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736180:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736200:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736220:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736240:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736260:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736280:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736300:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736320:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736340:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736360:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736380:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736400:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736420:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736440:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736460:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736480:,,
trips,trip_headsign,fr,Saint-Sébastien-Donostia,ES:Euskotren:Journey:10736500:,,
