fare_id,route_id,origin_id,destination_id,contains_id
ES:Euskotren:Fare:37955:,,ES:Euskotren:Zone:3:,ES:Euskotren:Zone:7:,
ES:Euskotren:Fare:37965:,,ES:Euskotren:Zone:3:,ES:Euskotren:Zone:8:,
ES:Euskotren:Fare:37995:,,ES:Euskotren:Zone:3:,ES:Euskotren:Zone:4:,
ES:Euskotren:Fare:38025:,,ES:Euskotren:Zone:3:,ES:Euskotren:Zone:6:,
ES:Euskotren:Fare:38374:,,ES:Euskotren:Zone:3:,ES:Euskotren:Zone:43:,
ES:Euskotren:Fare:38612:,,ES:Euskotren:Zone:3:,ES:Euskotren:Zone:18:,
ES:Euskotren:Fare:3900:,,ES:Euskotren:Zone:40:,ES:Euskotren:Zone:4:,
ES:Euskotren:Fare:41712:,,ES:Euskotren:Zone:70:,ES:Euskotren:Zone:70:,
ES:Euskotren:Fare:46772:,,ES:Euskotren:Zone:50:,ES:Euskotren:Zone:50:,
ES:Euskotren:Fare:5870:,,ES:Euskotren:Zone:7:,ES:Euskotren:Zone:6:,
ES:Euskotren:Fare:5978:,,ES:Euskotren:Zone:40:,ES:Euskotren:Zone:6:,
ES:Euskotren:Fare:793:,,ES:Euskotren:Zone:2:,ES:Euskotren:Zone:42:,
ES:Euskotren:Fare:833:,,ES:Euskotren:Zone:42:,ES:Euskotren:Zone:2:,
ES:Euskotren:Fare:885:,,ES:Euskotren:Zone:42:,ES:Euskotren:Zone:42:,
