Hora_Ini_E,Per_hog,Turismos,Sexo,Edad,crnt_tur,O_long,O_lat,D_long,D_lat,distance,original_distance,Coworking,Coworking_days,Rem_work,drive_tt,walk_tt,distance_stop_0,distance_stop_1,distance_stop_2,distance_stop_3,distance_stop_4,transit_tt,Tipo_familia,Mun_Ori,Mun_Des,geometry,distance_base,Mode,Mode_base,prediction,prediction_base,eCar,CO2,CO2_over_target,CO2_worst_case,CO2_worst_case_over_target,distance_week,distance_week_interv,distance_week_no_interv,weighted_d,n_close_stops
97,2,3,2,5,1,-2.071996431574388,43.13412571066467,-2.033693,43.256347,15231.615,15231.615,0,0,0,15.468833333333333,279.47238333333337,0.0,0.0,124.068,132.767,132.767,43.329,6,71,83,POINT (-2.071996431574388 43.13412571066467),15231.615,Car,Car,2,2,0,28.940068500000002,1.6357430021739134,28.9400685,1.6357430021739132,152316.15,0.0,152316.15,3.271486004347827,5
97,2,4,1,3,1,-2.081980523375894,43.14384613875672,-2.033693,43.256347,16535.501,16535.501,0,0,0,18.728416666666664,273.02006666666665,1169.85,1169.85,1194.406,1213.321,1213.321,51.428,2,71,83,POINT (-2.081980523375894 43.14384613875672),16535.501,Car,Car,2,2,0,31.4174519,1.775769020434783,31.4174519,1.775769020434783,165355.01,0.0,165355.01,2.1382078448933566,0
97,2,3,2,4,1,-1.9810924960633705,43.31762193738485,-2.033693,43.256347,9727.753,9727.753,0,0,0,11.82795,164.43111666666667,66.065,140.93,140.93,148.095,148.095,36.146,4,69,83,POINT (-1.9810924960633705 43.31762193738485),9727.753,Car,Car,2,2,0,18.482730700000005,1.0446760830434787,18.4827307,1.0446760830434785,97277.53,0.0,97277.53,1.900815907700421,5
97,2,2,2,5,1,-1.9543384329330764,43.31237951995873,-2.033693,43.256347,11414.04,11414.04,0,0,0,12.946850000000001,185.69158333333334,110.258,207.259,222.085,236.917,252.856,44.28,4,69,83,POINT (-1.9543384329330764 43.31237951995873),11414.04,Car,Car,2,2,0,21.686676,1.2257686434782609,21.686676,1.2257686434782609,114140.40000000001,0.0,114140.40000000001,2.1221084907048313,5
97,2,4,1,5,1,-2.175768684965415,43.28630187232852,-2.033693,43.256347,17850.331,17850.331,0,0,0,13.829033333333333,253.98395,69.523,69.523,69.523,114.85,114.85,44.595,4,79,83,POINT (-2.175768684965415 43.28630187232852),17850.331,Car,Car,2,2,0,33.9156289,1.9169703291304352,33.915628899999994,1.9169703291304347,178503.31,0.0,178503.31,3.4732769696890213,5
97,2,3,1,4,1,-2.071818147203293,43.14417992438502,-2.033693,43.256347,14077.957,14077.957,0,0,0,12.584783333333332,262.9506166666667,115.542,115.542,161.678,287.446,287.446,39.251,6,71,64,POINT (-2.071818147203293 43.14417992438502),14077.957,Car,Car,2,2,0,26.748118299999998,1.5118501647826088,26.748118299999998,1.5118501647826088,140779.57,0.0,140779.57,2.603328401482588,5
97,2,2,1,5,1,-1.8667190345370184,43.300787210143184,-2.033693,43.256347,16890.671,16890.671,0,0,0,15.634216666666667,288.35088333333334,117.27,244.092,244.092,353.84,520.462,56.513,2,63,64,POINT (-1.8667190345370184 43.300787210143184),16890.671,Car,Car,2,2,0,32.0922749,1.8139111900000002,32.0922749,1.8139111900000002,168906.71,0.0,168906.71,3.1180388699194768,4
97,2,3,2,3,1,-1.973684561967585,43.32297403056096,-2.033693,43.256347,10525.451,10525.451,0,0,0,12.835416666666667,179.55630000000002,121.913,128.022,128.518,138.977,141.457,38.942,6,69,64,POINT (-1.973684561967585 43.32297403056096),10525.451,Car,Car,2,2,0,19.998356899999997,1.1303419117391305,19.998356899999997,1.1303419117391305,105254.51,0.0,105254.51,1.9340682096293096,5
97,1,1,1,5,2,-1.9881633044614069,43.28882917810418,-2.033693,43.256347,6764.817,6764.817,0,0,0,12.382883333333332,113.8161,144.074,144.074,149.476,149.476,149.476,32.007,3,69,64,POINT (-1.9881633044614069 43.28882917810418),6764.817,PT,PT,1,1,0,8.158369302,0.4611252214173914,12.8531523,0.7264825213043479,67648.17,0.0,67648.17,0.7726443971070679,5
97,2,3,2,4,1,-1.896707402862532,43.32299062152429,-2.033693,43.256347,15935.918,15935.918,0,0,0,16.173816666666667,268.86988333333335,267.46,307.315,599.844,599.844,851.891,50.144,2,53,64,POINT (-1.896707402862532 43.32299062152429),15935.918,Car,Car,2,2,0,30.2782442,1.7113790200000003,30.278244199999996,1.71137902,159359.18,0.0,159359.18,2.6161365465216937,2
