,Com_Ori,Com_Des,Mun_Ori,Mun_Des,Modo,Hora_Ini,Recur,Municipio,Per_hog,Turismos,Motos,Tipo_familia,Sexo,Edad,Actividad,crnt_tur,Año,Income,Income_Percentile,O_long,O_lat,D_long,D_lat
978,Bidasoa,Donostialdea,Irun,Oiartzun,Coche conductor,08:15,22,Irun,1,2,1,Hogar de una persona,2,4,1,1,2021,22280.77,1,-1.7990105642152816,43.337794166068846,-2.033693,43.256347
979,Donostialdea,Donostialdea,Errenteria,Urnieta,RENFE,15:30,99,Errenteria,2,1,1,Otros hogares sin niños,2,3,1,2,2021,18671.675,1,-1.9023360863276304,43.31528535628448,-2.033693,43.256347
980,Donostialdea,Donostialdea,Donostia/San Sebastian,Errenteria,Autobús interurbano,14:15,22,Errenteria,2,3,1,2 adultos con niño(s),2,3,4,1,2021,10768.535000000002,1,-2.06022674109284,43.3111765975759,-2.033693,43.256347
981,Donostialdea,Bidasoa,Errenteria,Hondarribia,Coche conductor,07:00,22,Errenteria,1,3,1,2 adultos,2,5,1,1,2021,26550.96,4,-1.9071086403521038,43.30504000867513,-2.033693,43.256347
982,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Coche conductor,07:30,23,Donostia/San Sebastian,1,2,2,Hogar de una persona,1,6,1,1,2021,24830.67,3,-2.059297101421852,43.30693254376637,-2.033693,43.256347
983,Donostialdea,Donostialdea,Andoain,Andoain,Andando,08:45,23,Andoain,1,1,1,2 adultos,2,5,1,2,2021,24351.01,3,-2.0171200837508505,43.221018819772,-2.033693,43.256347
984,Bidasoa,Bidasoa,Hondarribia,Irun,Andando,12:30,22,Hondarribia,2,3,2,Otros hogares sin niños,2,3,1,1,2021,22325.485,1,-1.8083142535151813,43.35565103284007,-2.033693,43.256347
985,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Moto,08:15,23,Donostia/San Sebastian,2,2,1,Otros hogares con niños,1,5,1,1,2021,28013.81,4,-1.991981495650276,43.31266287822588,-2.033693,43.256347
986,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Coche conductor,07:15,22,Donostia/San Sebastian,1,2,1,Hogar de una persona,1,5,1,1,2021,25210.22,3,-2.0045293149577863,43.31123371352482,-2.033693,43.256347
987,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Autobús urbano,15:00,22,Donostia/San Sebastian,1,1,1,Hogar de una persona,2,5,1,1,2021,22156.6,1,-1.9542008250596576,43.295445656174955,-2.033693,43.256347
988,Goierri                              ,Goierri                              ,Beasain,Beasain,Coche conductor,20:00,99,Beasain,2,3,1,Otros hogares con niños,1,5,1,1,2021,23909.97,2,-2.198324742753918,43.04623424297042,-2.033693,43.256347
989,Donostialdea,Urola Kosta       ,Donostia/San Sebastian,Zarautz,Coche conductor,18:00,22,Zarautz,2,3,1,2 adultos con niño(s),1,5,1,1,2021,28087.91,4,-2.0333992760656883,43.270842446228556,-2.033693,43.256347
990,Donostialdea,Donostialdea,Usurbil,Lezo,Coche conductor,06:00,22,Lezo,2,3,1,Otros hogares con niños,1,4,1,1,2021,26126.91,4,-2.0414288832950063,43.27871974331086,-2.033693,43.256347
991,Donostialdea,Donostialdea,Andoain,Andoain,Coche conductor,16:30,22,Andoain,2,3,1,Otros hogares sin niños,1,4,1,1,2021,24436.16,3,-2.0252728283446406,43.21239695159516,-2.033693,43.256347
992,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,EUSKOTREN,08:35,23,Donostia/San Sebastian,2,2,2,Otros hogares sin niños,2,5,1,2,2021,22930.57,2,-1.9211464299866086,43.313014892506594,-2.033693,43.256347
993,Bidasoa,Donostialdea,Irun,Errenteria,EUSKOTREN,12:40,22,Irun,1,1,1,2 adultos,1,5,1,1,2021,25930.01,4,-1.7817805694379625,43.33336397048963,-2.033693,43.256347
994,Donostialdea,Urola Kosta       ,Hernani,Zarautz,Coche pasajero,07:10,22,Villabona,2,2,1,2 adultos con niño(s),1,5,1,1,2021,23648.77,2,-1.973601390321648,43.26286511472375,-2.033693,43.256347
995,Urola Kosta       ,Donostialdea,Zarautz,Pasaia,Coche conductor,07:55,22,Zarautz,2,3,2,Otros hogares con niños,2,4,1,1,2021,21744.82,1,-2.1645787626052218,43.28334237114114,-2.033693,43.256347
996,Urola Kosta       ,Debagoiena,Orio,Bergara,Coche conductor,06:40,22,Orio,2,2,1,2 adultos con niño(s),1,5,1,1,2021,23953.47,2,-2.1261262550785385,43.27678129201271,-2.033693,43.256347
997,Urola Kosta       ,Urola Kosta       ,Zumaia,Zumaia,Andando,12:55,22,Zumaia,2,2,1,Otros hogares con niños,2,5,1,2,2021,23771.56,2,-2.2576202759842587,43.29945243414475,-2.033693,43.256347
998,Goierri                              ,Goierri                              ,Urretxu,Urretxu,Andando,14:30,22,Urretxu,2,3,1,2 adultos con niño(s),1,5,1,1,2021,25500.46,3,-2.319234613274723,43.09099610028279,-2.033693,43.256347
999,Donostialdea,Donostialdea,Errenteria,Errenteria,Andando,12:00,99,Errenteria,1,2,1,Hogar de una persona,1,5,1,1,2021,28424.26,4,-1.916732738789038,43.2679961701789,-2.033693,43.256347
1000,Debagoiena,Debagoiena,Oñati,Oñati,Coche conductor,13:45,22,Oñati,2,2,1,Otros hogares sin niños,1,4,1,1,2021,23361.07,1,-2.4049475083161997,43.033600208662584,-2.033693,43.256347
1001,Debabarrena,Debabarrena,Eibar,Eibar,Coche conductor,08:30,23,Eibar,2,2,1,2 adultos con niño(s),2,4,1,1,2021,20238.8,1,-2.456697272870586,43.190253191475755,-2.033693,43.256347
1002,Donostialdea,Donostialdea,Donostia/San Sebastian,Donostia/San Sebastian,Coche conductor,07:45,22,Donostia/San Sebastian,2,2,2,Otros hogares sin niños,1,4,1,1,2021,23422.07,2,-1.922554552504941,43.32069583538774,-2.033693,43.256347
1003,Donostialdea,Donostialdea,Donostia/San Sebastian,Lasarte-Oria,Coche conductor,19:00,22,Lasarte-Oria,1,2,1,Hogar de una persona,2,4,1,1,2021,22393.67,1,-1.9731034699047558,43.3246125368476,-2.033693,43.256347
1004,Debagoiena,Urola Kosta       ,Bergara,Zarautz,Coche conductor,20:00,22,Zarautz,2,3,1,Otros hogares con niños,1,5,1,1,2021,27916.31,4,-2.412312258443714,43.11813151823976,-2.033693,43.256347
1005,Urola Kosta       ,Urola Kosta       ,Azpeitia,Azpeitia,Bicicleta,08:00,22,Azpeitia,2,2,1,2 adultos con niño(s),2,5,1,1,2021,22129.17,1,-2.2642454216136882,43.18442457927987,-2.033693,43.256347
1006,Goierri                              ,Goierri                              ,Urretxu,Urretxu,Andando,13:30,22,Urretxu,2,3,1,Otros hogares con niños,1,3,1,2,2021,21727.835,1,-2.3147935279234226,43.09279196113189,-2.033693,43.256347
1007,Urola Kosta       ,Urola Kosta       ,Azkoitia,Zumaia,Coche conductor,05:25,22,Azkoitia,2,3,1,2 adultos con niño(s),2,5,1,1,2021,26141.009999999995,4,-2.3098575672073336,43.1788679097311,-2.033693,43.256347
